Date,Option Premium Amount,Notional Amount 1,USD_notional,Option Premium Currency,Spot_USDAUD,Strike_USDAUD,Expiration Date,Type,Option Style,Adj_Prem,Maturity,IV,Delta,Gamma,Rho,Theta,Vega,NAB,long,CP Region,CP Type
2021-02-25,45979.8997,30150754.0,24000000.0,USD,0.7977029999999999,0.7959999999999999,2021-02-26,c,EU,0.0019158291541666668,0.0027397260273972603,0.047492427294343866,0.8051595802016457,138.96821485519396,1.754417488908018e-05,-0.00027199902650235465,0.00011506134106442287,0,1,Others,Non-financial firms
2021-02-25,140583.33809,13784461.0,11000000.0,USD,0.7977029999999999,0.7979999999999999,2021-04-01,p,EU,0.012780303462727273,0.0958904109589041,0.12788243622717846,-0.49652726847346107,12.628561824071154,-0.0003920590638000942,-0.00018081014122052488,0.0009854223917128114,0,-1,Australia,Investment Firms
2021-02-25,194882.14235,13784461.0,11000000.0,USD,0.7977029999999999,0.7979999999999999,2021-05-06,p,EU,0.017716558395454548,0.1917808219178082,0.12565217943397924,-0.49269628457367265,9.087060867807537,-0.0007877241202249555,-0.00012584906457799931,0.0013934169501045428,1,-1,EEA,Investment Firms
2021-02-25,1956151.73858,15440764.0,11000000.0,USD,0.7977029999999999,0.7124,2036-02-28,p,EU,0.17783197623454544,15.016438356164384,0.18700579158473027,-0.30716740906922013,0.6078470507905394,-0.06349856228145254,-1.934047859254845e-05,0.010861723901213035,0,1,Australia,Investment Firms
2021-02-25,1956151.73858,15440764.0,11000000.0,USD,0.7977029999999999,0.7124,2036-02-28,c,EU,0.17783197623454544,15.016438356164384,0.11650944984665905,0.6747112231541601,0.9997042155103275,0.054117320321342775,-1.1137993165353066e-05,0.011129664254208702,0,1,EEA,Investment Firms
2021-02-25,3288.6181,2512563.0,2000000.0,USD,0.7977029999999999,0.7959999999999999,2021-02-26,p,EU,0.00164430905,0.0027397260273972603,0.14421571042414102,-0.3871937197065083,63.58596294839385,-8.507120570987417e-06,-0.0011533743237882267,0.00015986868864119091,0,-1,Australia,Investment Firms
2021-02-25,39428.57127,19480519.0,15000000.0,USD,0.7977029999999999,0.77,2021-03-30,p,EU,0.002628571418,0.09041095890410959,0.12291117869171152,-0.1652371234481781,8.427914151780906,-0.00012154733634606593,-0.00011124236112812419,0.0005959571200387248,0,-1,Australia,Investment Firms
2021-02-25,4075.84186,2551020.0,2000000.0,USD,0.7977029999999999,0.784,2021-03-04,p,EU,0.00203792093,0.019178082191780823,0.1556673382336757,-0.20784381456804346,16.657667704564854,-3.218764075059189e-05,-0.0003521809733934131,0.00031644578841632983,0,1,Australia,Investment Firms
2021-02-25,6224.691131498472,2446483.0,2000000.0,AUD,0.7977029999999999,0.8175,2021-03-19,c,EU,0.003112345565749236,0.06027397260273973,0.12732904568010253,0.22067123909659891,11.894709901731645,0.00010422440562348357,-0.00016776864779000946,0.0005808896061414154,0,-1,Others,Credit Institutions
2021-02-25,676.00338,524934.0,400000.0,USD,0.7977029999999999,0.762,2021-04-01,p,EU,0.00169000845,0.0958904109589041,0.12354581166903228,-0.11232405070326035,6.254389219869734,-8.753954584616444e-05,-8.338987435758874e-05,0.0004714879112387457,0,-1,Australia,Investment Firms
2021-02-25,4279.99999,2534854.0,2000000.0,USD,0.7977029999999999,0.789,2021-03-04,p,EU,0.002139999995,0.019178082191780823,0.12346903721027079,-0.2580597727804457,23.689183726172292,-3.988946258764272e-05,-0.00031519243357112757,0.0003569404641690127,0,1,EEA,Credit Institutions
2021-02-25,4440.00001,2534854.0,2000000.0,USD,0.7977029999999999,0.789,2021-03-04,p,EU,0.0022200000049999997,0.019178082191780823,0.12570214462283233,-0.26170118434992773,23.43714605312366,-4.0461883261683084e-05,-0.0003232166345127869,0.00035952992155246735,0,-1,EEA,Credit Institutions
2021-02-25,3940.00001,2538071.0,2000000.0,USD,0.7977029999999999,0.7879999999999999,2021-03-04,p,EU,0.001970000005,0.019178082191780823,0.12586574666917258,-0.23883283826101553,22.298499878596182,-3.691544386548735e-05,-0.00030829798358511577,0.0003425080867618065,0,-1,US,Non-financial firms
2021-02-25,1916.87042,2444988.0,2000000.0,USD,0.7977029999999999,0.818,2021-03-11,c,EU,0.00095843521,0.038356164383561646,0.10730328062454314,0.1177344634918211,11.77334027649102,3.5655391597025365e-05,-0.00011798575105473147,0.00030834031961547514,0,-1,Australia,Investment Firms
